projectCategory, slug                                                     , projectAge, projectSummary          , privateBathrooms, publicBathrooms, furnishingType                                                                  , lift        , ageOfProperty, parkingType, listingType       , floorPlanImage                                                                                , maintenanceCharges       , createdAt, updatedAt, Address info                                                                                                                                                                                         , Variant details                                                                                                                                                                                                                                                                       , Configuration info                     , Title                                                  , Possession Status
Unknown        , Unknown                                                  ,           , Unknown                 ,                 ,                , " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757400210675-be2512dbfae0b3f7.jpg"" ",                          ,          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "2.0, 2.0,  ""UNFURNISHED""   , 728.5, 19000000.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757400210678-f61b2d8c4b4a4a50.jpg""""]""                                                                                           ,  ""na""                       "  , "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
Unknown        , Unknown                                                  ,           , Unknown                 ,                 ,                , " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757400210681-7ca76e0e6739c3c1.jpg"" ",                          ,          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "3.0, 2.0,  ""UNFURNISHED""   , 1240.22, 33000000.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757400210682-37e9e8c4f43b5b32.jpg""""]""                                                                                           ,  ""na""                       ", "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
Unknown        , Unknown                                                  ,           , Unknown                 ,                 ,                , " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757401136185-abf1e76a1175f931.jpg"" ",                          ,          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "1.0, 0.0,  ""UNFURNISHED""   , 416.56, 9890000.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757401136186-23bdb16c58a9e122.jpg""""]""                                                                                           ,  ""na""                       "  , "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
Unknown        , Unknown                                                  ,           , Unknown                 ,                 ,                , " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757401136186-d8d90b0f32b32c7f.jpg"" ",                          ,          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "1.0, 1.0,  ""UNFURNISHED""   , 438.63, 14000000.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757401136187-7ce77cd129550d77.jpg""""]""                                                                                           ,  ""na""                       " , "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
Unknown        , Unknown                                                  ,           , Unknown                 ,                 ,                , " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757401136187-1ecea6707162bfe7.jpg"" ",                          ,          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "2.0, 2.0,  ""UNFURNISHED""   , 653.15, 15000000.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757401136188-b404a27ba98528f4.jpg""""]""                                                                                           ,  ""na""                       " , "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
Unknown        , Unknown                                                  ,           , Unknown                 ,              1.0,             1.0, " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757402417345-d65dfb1fd5d0d077.jpg"" ",                          ,          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "1.0, nan,  ""UNFURNISHED""   , 239.0, 5975000.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757402417346-ede3eaf6864e2efa.jpg""""]""                                                                                           ,  ""na""                       "   , "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
Unknown        , Unknown                                                  ,           , Unknown                 ,              1.0,             1.0, " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757402417346-59bcce3ff8c17194.jpg"" ",                          ,          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "1.0, nan,  ""UNFURNISHED""   , 309.0, 7720000.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757402417347-f5e0ac2f495d60e1.jpg""""]""                                                                                           ,  ""na""                       "   , "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
Unknown        , Unknown                                                  ,           , Unknown                 ,              0.0,             0.0, " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757402417348-0cca2389f798785c.jpg"" ",                          ,          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "0.0, nan,  ""UNFURNISHED""   , 634.0, 15000000.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757402417348-9bfc082c0bba270f.jpg""""]""                                                                                           ,                             "    , "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
Unknown        , Unknown                                                  ,           , Unknown                 ,                 ,                , " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757403866053-185c21624393f002.jpg"" ",                          ,          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "2.0, 2.0,  ""UNFURNISHED""   , 637.76, 8900000.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757403866054-3b21d5295d1b7bce.jpg""""]""                                                                                           ,  ""na""                       "  , "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
Unknown        , Unknown                                                  ,           , Unknown                 ,                 ,                , " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757403866054-1c8c078c7503aa74.jpg"" ",                          ,          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "2.0, 2.0,  ""UNFURNISHED""   , 783.83, 10000000.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757403866054-19520d6cb5866f61.jpg""""]""                                                                                           ,  ""na""                       " , "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
